Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"PI4K2A","Phosphatidylinositol 4-Kinase Type 2 Alpha","Protein Coding","36","GC10P097640","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PI4K2A"
"PPA1","Inorganic Pyrophosphatase 1","Protein Coding","36","GC10M070202","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPA1"
"SEC23IP","SEC23 Interacting Protein","Protein Coding","36","GC10P119892","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC23IP"
"SLC38A2","Solute Carrier Family 38 Member 2","Protein Coding","36","GC12M046358","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC38A2"
"SPAG9","Sperm Associated Antigen 9","Protein Coding","36","GC17M050962","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPAG9"
"TCTN3","Tectonic Family Member 3","Protein Coding","36","GC10M095663","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCTN3"
"TMED10","Transmembrane P24 Trafficking Protein 10","Protein Coding","36","GC14M075132","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMED10"
"TNIP1","TNFAIP3 Interacting Protein 1","Protein Coding","36","GC05M151029","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNIP1"
"VAMP3","Vesicle Associated Membrane Protein 3","Protein Coding","36","GC01P007765","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAMP3"
"VAMP7","Vesicle Associated Membrane Protein 7","Protein Coding","36","GC0XP155881","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAMP7"
"AGPAT3","1-Acylglycerol-3-Phosphate O-Acyltransferase 3","Protein Coding","35","GC21P043865","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGPAT3"
"BCAP31","B Cell Receptor Associated Protein 31","Protein Coding","35","GC0XM153701","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAP31"
"CLINT1","Clathrin Interactor 1","Protein Coding","35","GC05M157785","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLINT1"
"EPN2","Epsin 2","Protein Coding","35","GC17P019215","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPN2"
"LRIG3","Leucine Rich Repeats And Immunoglobulin Like Domains 3","Protein Coding","35","GC12M058872","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRIG3"
"MARCKS","Myristoylated Alanine Rich Protein Kinase C Substrate","Protein Coding","35","GC06P113857","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARCKS"
"MGRN1","Mahogunin Ring Finger 1","Protein Coding","35","GC16P010809","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGRN1"
"NECTIN2","Nectin Cell Adhesion Molecule 2","Protein Coding","35","GC19P063842","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NECTIN2"
"NUBP2","NUBP Iron-Sulfur Cluster Assembly Factor 2, Cytosolic","Protein Coding","35","GC16P001782","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUBP2"
"RAB9A","RAB9A, Member RAS Oncogene Family","Protein Coding","35","GC0XP013707","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB9A"
"SCAMP1","Secretory Carrier Membrane Protein 1","Protein Coding","35","GC05P078360","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAMP1"
"SMPD4","Sphingomyelin Phosphodiesterase 4","Protein Coding","35","GC02M130151","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMPD4"
"SNX2","Sorting Nexin 2","Protein Coding","35","GC05P122774","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX2"
"SSBP1","Single Stranded DNA Binding Protein 1","Protein Coding","35","GC07P148227","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSBP1"
"STX5","Syntaxin 5","Protein Coding","35","GC11M062806","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX5"
"SYMPK","Symplekin Scaffold Protein","Protein Coding","35","GC19M045815","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYMPK"
"TAX1BP1","Tax1 Binding Protein 1","Protein Coding","35","GC07P027739","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAX1BP1"
"TBCE","Tubulin Folding Cofactor E","Protein Coding","35","GC01P235405","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBCE"
"YKT6","YKT6 V-SNARE Homolog","Protein Coding","35","GC07P044200","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YKT6"
"CDK5RAP3","CDK5 Regulatory Subunit Associated Protein 3","Protein Coding","34","GC17P047967","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5RAP3"
"CSDE1","Cold Shock Domain Containing E1","Protein Coding","34","GC01M114716","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSDE1"
"DDX39B","DExD-Box Helicase 39B","Protein Coding","34","GC06M031530","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX39B"
"FAM20B","FAM20B Glycosaminoglycan Xylosylkinase","Protein Coding","34","GC01P179025","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM20B"
"FKBP3","FKBP Prolyl Isomerase 3","Protein Coding","34","GC14M045115","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP3"
"HNRNPM","Heterogeneous Nuclear Ribonucleoprotein M","Protein Coding","34","GC19P008444","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPM"
"ITM2C","Integral Membrane Protein 2C","Protein Coding","34","GC02P230864","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITM2C"
"NACA","Nascent Polypeptide Associated Complex Subunit Alpha","Protein Coding","34","GC12M056712","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NACA"
"NBR1","NBR1 Autophagy Cargo Receptor","Protein Coding","34","GC17P043170","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBR1"
"PCDHGC3","Protocadherin Gamma Subfamily C, 3","Protein Coding","34","GC05P141475","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDHGC3"
"PDS5A","PDS5 Cohesin Associated Factor A","Protein Coding","34","GC04M039824","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDS5A"
"SCAMP2","Secretory Carrier Membrane Protein 2","Protein Coding","34","GC15M074843","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAMP2"
"SCAMP3","Secretory Carrier Membrane Protein 3","Protein Coding","34","GC01M155255","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAMP3"
"SDF4","Stromal Cell Derived Factor 4","Protein Coding","34","GC01M001216","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDF4"
"SEMA4C","Semaphorin 4C","Protein Coding","34","GC02M096859","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA4C"
"STAM2","Signal Transducing Adaptor Molecule 2","Protein Coding","34","GC02M152116","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAM2"
"TMX1","Thioredoxin Related Transmembrane Protein 1","Protein Coding","34","GC14P051240","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMX1"
"ZW10","Zw10 Kinetochore Protein","Protein Coding","34","GC11M113733","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZW10"
"ATP5F1B","ATP Synthase F1 Subunit Beta","Protein Coding","33","GC12M056639","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1B"
"ATP5F1D","ATP Synthase F1 Subunit Delta","Protein Coding","33","GC19P002569","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1D"
"CKAP4","Cytoskeleton Associated Protein 4","Protein Coding","33","GC12M106237","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKAP4"
"EFHD2","EF-Hand Domain Family Member D2","Protein Coding","33","GC01P015409","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFHD2"
"HAUS6","HAUS Augmin Like Complex Subunit 6","Protein Coding","33","GC09M019056","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAUS6"
"NAPA","NSF Attachment Protein Alpha","Protein Coding","33","GC19M064034","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAPA"
"RAB21","RAB21, Member RAS Oncogene Family","Protein Coding","33","GC12P071754","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB21"
"STX12","Syntaxin 12","Protein Coding","33","GC01P027783","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX12"
"TAPT1","Transmembrane Anterior Posterior Transformation 1","Protein Coding","33","GC04M016162","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAPT1"
"TM9SF3","Transmembrane 9 Superfamily Member 3","Protein Coding","33","GC10M096518","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TM9SF3"
"ATL2","Atlastin GTPase 2","Protein Coding","32","GC02M038294","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATL2"
"CCDC115","Coiled-Coil Domain Containing 115","Protein Coding","32","GC02M133728","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC115"
"DHRS7","Dehydrogenase/Reductase 7","Protein Coding","32","GC14M060144","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHRS7"
"MLF2","Myeloid Leukemia Factor 2","Protein Coding","32","GC12M006885","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLF2"
"NCOA7","Nuclear Receptor Coactivator 7","Protein Coding","32","GC06P125781","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOA7"
"PRPF40A","Pre-MRNA Processing Factor 40 Homolog A","Protein Coding","32","GC02M152651","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF40A"
"SEC16A","SEC16 Homolog A, Endoplasmic Reticulum Export Factor","Protein Coding","32","GC09M136440","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC16A"
"SUGT1","SGT1 Homolog, MIS12 Kinetochore Complex Assembly Cochaperone","Protein Coding","32","GC13P052652","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUGT1"
"TM9SF4","Transmembrane 9 Superfamily Member 4","Protein Coding","32","GC20P032109","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TM9SF4"
"TMF1","TATA Element Modulatory Factor 1","Protein Coding","32","GC03M069019","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMF1"
"ATP5PF","ATP Synthase Peripheral Stalk Subunit F6","Protein Coding","31","GC21M025875","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5PF"
"CALML5","Calmodulin Like 5","Protein Coding","31","GC10M005498","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALML5"
"EMC10","ER Membrane Protein Complex Subunit 10","Protein Coding","31","GC19P050476","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC10"
"GOLIM4","Golgi Integral Membrane Protein 4","Protein Coding","31","GC03M168008","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOLIM4"
"LSM14A","LSM14A MRNA Processing Body Assembly Factor","Protein Coding","31","GC19P034172","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM14A"
"MOSPD2","Motile Sperm Domain Containing 2","Protein Coding","31","GC0XP014891","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOSPD2"
"MT-CO2","Mitochondrially Encoded Cytochrome C Oxidase II","Protein Coding","31","GCMTP007587","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO2"
"NUDT19","Nudix Hydrolase 19","Protein Coding","31","GC19P063374","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDT19"
"OSTC","Oligosaccharyltransferase Complex Non-Catalytic Subunit","Protein Coding","31","GC04P108650","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSTC"
"PALM","Paralemmin","Protein Coding","31","GC19P000708","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALM"
"PFDN2","Prefoldin Subunit 2","Protein Coding","31","GC01M161100","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFDN2"
"PRAF2","PRA1 Domain Family Member 2","Protein Coding","31","GC0XM049199","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRAF2"
"RABGAP1L","RAB GTPase Activating Protein 1 Like","Protein Coding","31","GC01P174159","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RABGAP1L"
"RABL3","RAB, Member Of RAS Oncogene Family Like 3","Protein Coding","31","GC03M120686","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RABL3"
"RNF149","Ring Finger Protein 149","Protein Coding","31","GC02M101271","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF149"
"SPNS1","Sphingolipid Transporter 1 (Putative)","Protein Coding","31","GC16P040109","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPNS1"
"STX10","Syntaxin 10","Protein Coding","31","GC19M013144","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX10"
"TMED9","Transmembrane P24 Trafficking Protein 9","Protein Coding","31","GC05P177594","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMED9"
"TMEM87A","Transmembrane Protein 87A","Protein Coding","31","GC15M042210","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM87A"
"TRAFD1","TRAF-Type Zinc Finger Domain Containing 1","Protein Coding","31","GC12P112125","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAFD1"
"UHRF1BP1L","UHRF1 Binding Protein 1 Like","Protein Coding","31","GC12M100028","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UHRF1BP1L"
"VEZT","Vezatin, Adherens Junctions Transmembrane Protein","Protein Coding","31","GC12P095217","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEZT"
"LSG1","Large 60S Subunit Nuclear Export GTPase 1","Protein Coding","30","GC03M194640","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSG1"
"AGO3","Argonaute RISC Catalytic Component 3","Protein Coding","29","GC01P035996","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGO3"
"CEMIP2","Cell Migration Inducing Hyaluronidase 2","Protein Coding","29","GC09M071684","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEMIP2"
"EMC8","ER Membrane Protein Complex Subunit 8","Protein Coding","29","GC16M085771","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC8"
"GPR89A","G Protein-Coupled Receptor 89A","Protein Coding","29","GC01P145607","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR89A"
"TMED7","Transmembrane P24 Trafficking Protein 7","Protein Coding","29","GC05M115613","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMED7"
"EMC3","ER Membrane Protein Complex Subunit 3","Protein Coding","28","GC03M010384","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC3"
"EMC4","ER Membrane Protein Complex Subunit 4","Protein Coding","28","GC15P039609","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC4"
"PRRC1","Proline Rich Coiled-Coil 1","Protein Coding","28","GC05P127517","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRRC1"
"RBM33","RNA Binding Motif Protein 33","Protein Coding","28","GC07P155644","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM33"
"TMEM68","Transmembrane Protein 68","Protein Coding","28","GC08M055696","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM68"
"MICOS13","Mitochondrial Contact Site And Cristae Organizing System Subunit 13","Protein Coding","27","GC19M005692","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICOS13"
"RETREG3","Reticulophagy Regulator Family Member 3","Protein Coding","27","GC17M042581","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETREG3"
"SEPTIN10","Septin 10","Protein Coding","27","GC02M109543","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEPTIN10"
"SHTN1","Shootin 1","Protein Coding","27","GC10M116882","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHTN1"
"MAIP1","Matrix AAA Peptidase Interacting Protein 1","Protein Coding","26","GC02P199956","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAIP1"
"SELENOF","Selenoprotein F","Protein Coding","26","GC01M086863","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELENOF"
"FAM241B","Family With Sequence Similarity 241 Member B","Protein Coding","24","GC10P069631","2.69518089294434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM241B"
"TGFBI","Transforming Growth Factor Beta Induced","Protein Coding","42","GC05P136027","2.66411685943604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBI"
"CLTC","Clathrin Heavy Chain","Protein Coding","41","GC17P059619","2.66411685943604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLTC"
"AP3B1","Adaptor Related Protein Complex 3 Subunit Beta 1","Protein Coding","40","GC05M078000","2.66411685943604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP3B1"
"SOAT1","Sterol O-Acyltransferase 1","Protein Coding","40","GC01P179262","2.66411685943604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOAT1"
"EIF2B1","Eukaryotic Translation Initiation Factor 2B Subunit Alpha","Protein Coding","39","GC12M123620","2.66411685943604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2B1"
"TMEM43","Transmembrane Protein 43","Protein Coding","38","GC03P014124","2.66411685943604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM43"
"MAGI1","Membrane Associated Guanylate Kinase, WW And PDZ Domain Containing 1","Protein Coding","35","GC03M065330","2.66411685943604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGI1"
"RPL11","Ribosomal Protein L11","Protein Coding","42","GC01P023691","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL11"
"DDX3X","DEAD-Box Helicase 3 X-Linked","Protein Coding","41","GC0XP041333","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX3X"
"DRG1","Developmentally Regulated GTP Binding Protein 1","Protein Coding","38","GC22P031399","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRG1"
"FBL","Fibrillarin","Protein Coding","38","GC19M039834","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBL"
"IQGAP1","IQ Motif Containing GTPase Activating Protein 1","Protein Coding","38","GC15P090388","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IQGAP1"
"RBMX","RNA Binding Motif Protein X-Linked","Protein Coding","38","GC0XM136848","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBMX"
"RPL13A","Ribosomal Protein L13a","Protein Coding","38","GC19P049487","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL13A"
"RPL35A","Ribosomal Protein L35a","Protein Coding","38","GC03P197949","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL35A"
"RB1CC1","RB1 Inducible Coiled-Coil 1","Protein Coding","37","GC08M052622","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1CC1"
"DHX30","DExH-Box Helicase 30","Protein Coding","36","GC03P047802","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX30"
"DHX9","DExH-Box Helicase 9","Protein Coding","36","GC01P182839","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX9"
"HNRNPC","Heterogeneous Nuclear Ribonucleoprotein C","Protein Coding","36","GC14M022213","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPC"
"IGF2BP1","Insulin Like Growth Factor 2 MRNA Binding Protein 1","Protein Coding","36","GC17P048997","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2BP1"
"SYNCRIP","Synaptotagmin Binding Cytoplasmic RNA Interacting Protein","Protein Coding","36","GC06M085607","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNCRIP"
"HNRNPR","Heterogeneous Nuclear Ribonucleoprotein R","Protein Coding","35","GC01M023303","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPR"
"RPL23","Ribosomal Protein L23","Protein Coding","35","GC17M038847","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL23"
"TMEM106B","Transmembrane Protein 106B","Protein Coding","35","GC07P012227","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM106B"
"ILF2","Interleukin Enhancer Binding Factor 2","Protein Coding","34","GC01M153661","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ILF2"
"NAT10","N-Acetyltransferase 10","Protein Coding","34","GC11P034105","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAT10"
"NETO2","Neuropilin And Tolloid Like 2","Protein Coding","34","GC16M047077","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NETO2"
"PES1","Pescadillo Ribosomal Biogenesis Factor 1","Protein Coding","34","GC22M030576","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PES1"
"RALY","RALY Heterogeneous Nuclear Ribonucleoprotein","Protein Coding","34","GC20P033993","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RALY"
"RBM39","RNA Binding Motif Protein 39","Protein Coding","34","GC20M035703","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM39"
"RPL37","Ribosomal Protein L37","Protein Coding","34","GC05M040825","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL37"
"STAU1","Staufen Double-Stranded RNA Binding Protein 1","Protein Coding","34","GC20M049113","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAU1"
"DDX54","DEAD-Box Helicase 54","Protein Coding","33","GC12M113157","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX54"
"FUBP3","Far Upstream Element Binding Protein 3","Protein Coding","33","GC09P130580","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUBP3"
"NOP2","NOP2 Nucleolar Protein","Protein Coding","32","GC12M006556","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOP2"
"TDRD3","Tudor Domain Containing 3","Protein Coding","32","GC13P060396","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TDRD3"
"U2AF2","U2 Small Nuclear RNA Auxiliary Factor 2","Protein Coding","32","GC19P055654","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=U2AF2"
"RPL26L1","Ribosomal Protein L26 Like 1","Protein Coding","31","GC05P172958","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL26L1"
"SRP9","Signal Recognition Particle 9","Protein Coding","31","GC01P225777","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRP9"
"GET4","Guided Entry Of Tail-Anchored Proteins Factor 4","Protein Coding","30","GC07P000876","2.63160586357117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GET4"
"VKORC1","Vitamin K Epoxide Reductase Complex Subunit 1","Protein Coding","43","GC16M036578","2.62425184249878","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VKORC1"
"NR2F2","Nuclear Receptor Subfamily 2 Group F Member 2","Protein Coding","45","GC15P096325","2.59742426872253","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2F2"
"PRKRA","Protein Activator Of Interferon Induced Protein Kinase EIF2AK2","Protein Coding","37","GC02M178431","2.59742426872253","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKRA"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","47","GC12M057743","2.58388590812683","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"CHD3","Chromodomain Helicase DNA Binding Protein 3","Protein Coding","38","GC17P010899","2.58388590812683","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD3"
"RCOR1","REST Corepressor 1","Protein Coding","36","GC14P102592","2.58388590812683","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCOR1"
"TOP1","DNA Topoisomerase I","Protein Coding","44","GC20P041028","2.56128478050232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOP1"
"DDR1","Discoidin Domain Receptor Tyrosine Kinase 1","Protein Coding","42","GC06P080334","2.56128478050232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDR1"
"ITGAV","Integrin Subunit Alpha V","Protein Coding","42","GC02P186589","2.56128478050232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAV"
"ERLIN1","ER Lipid Raft Associated 1","Protein Coding","39","GC10M100150","2.56128478050232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERLIN1"
"RNF5","Ring Finger Protein 5","Protein Coding","38","GC06P080385","2.56128478050232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF5"
"MAZ","MYC Associated Zinc Finger Protein","Protein Coding","36","GC16P029806","2.56128478050232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAZ"
"ABCE1","ATP Binding Cassette Subfamily E Member 1","Protein Coding","35","GC04P145097","2.56128478050232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCE1"
"CDKAL1","CDK5 Regulatory Subunit Associated Protein 1 Like 1","Protein Coding","35","GC06P020534","2.56128478050232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKAL1"
"LYAR","Ly1 Antibody Reactive","Protein Coding","35","GC04M004274","2.56128478050232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYAR"
"MLEC","Malectin","Protein Coding","32","GC12P120687","2.56128478050232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLEC"
"CCPG1","Cell Cycle Progression 1","Protein Coding","31","GC15M055340","2.56128478050232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCPG1"
"MMGT1","Membrane Magnesium Transporter 1","Protein Coding","30","GC0XM135962","2.56128478050232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMGT1"
"TMEM33","Transmembrane Protein 33","Protein Coding","30","GC04P041937","2.56128478050232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM33"
